"","Year","Date","Week","Location","elev","n_conc","conc_bin","Home_Team","Away_Team"
"1",2016,"11/21/2016",11,"MEX",7503,0,0,"OAK","HOU"
"2",2017,"11/19/2017",11,"MEX",7503,1,1,"OAK","NE"
"3",2019,"11/18/2019",11,"MEX",7503,0,0,"LAC","KC"
"4",2012,"9/9/2012",1,"DEN",5195,0,0,"DEN","PIT"
"5",2012,"9/23/2012",3,"DEN",5195,1,1,"DEN","HOU"
"6",2012,"9/30/2012",4,"DEN",5195,0,0,"DEN","OAK"
"7",2012,"10/28/2012",8,"DEN",5195,0,0,"DEN","NO"
"8",2012,"11/18/2012",11,"DEN",5195,1,1,"DEN","SD"
"9",2012,"12/2/2012",13,"DEN",5195,1,1,"DEN","TB"
"10",2012,"12/23/2012",16,"DEN",5195,2,1,"DEN","CLE"
"11",2012,"12/30/2012",17,"DEN",5195,0,0,"DEN","KC"
"12",2013,"9/5/2013",1,"DEN",5195,0,0,"DEN","BAL"
"13",2013,"9/23/2013",3,"DEN",5195,3,1,"DEN","OAK"
"14",2013,"9/29/2013",4,"DEN",5195,0,0,"DEN","PHI"
"15",2013,"10/13/2013",6,"DEN",5195,1,1,"DEN","JAX"
"16",2013,"10/27/2013",8,"DEN",5195,0,0,"DEN","WAS"
"17",2013,"11/17/2013",11,"DEN",5195,0,0,"DEN","KC"
"18",2013,"12/8/2013",14,"DEN",5195,1,1,"DEN","TEN"
"19",2013,"12/12/2013",15,"DEN",5195,0,0,"DEN","SD"
"20",2014,"9/7/2014",1,"DEN",5195,0,0,"DEN","IND"
"21",2014,"9/14/2014",2,"DEN",5195,0,0,"DEN","KC"
"22",2014,"10/5/2014",5,"DEN",5195,1,1,"DEN","ARI"
"23",2014,"10/19/2014",7,"DEN",5195,1,1,"DEN","SF"
"24",2014,"10/23/2014",8,"DEN",5195,2,1,"DEN","SD"
"25",2014,"11/23/2014",12,"DEN",5195,1,1,"DEN","MIA"
"26",2014,"12/7/2014",14,"DEN",5195,1,1,"DEN","BUF"
"27",2014,"12/28/2014",17,"DEN",5195,0,0,"DEN","OAK"
"28",2015,"9/13/2015",1,"DEN",5195,2,1,"DEN","BAL"
"29",2015,"10/4/2015",4,"DEN",5195,0,0,"DEN","MIN"
"30",2015,"11/1/2015",8,"DEN",5195,0,0,"DEN","GB"
"31",2015,"11/15/2015",10,"DEN",5195,0,0,"DEN","KC"
"32",2015,"11/29/2015",12,"DEN",5195,0,0,"DEN","NE"
"33",2015,"12/13/2015",14,"DEN",5195,0,0,"DEN","OAK"
"34",2015,"12/28/2015",16,"DEN",5195,1,1,"DEN","CIN"
"35",2015,"1/3/2016",17,"DEN",5195,0,0,"DEN","SD"
"36",2016,"9/8/2016",1,"DEN",5195,0,0,"DEN","CAR"
"37",2016,"9/18/2016",2,"DEN",5195,0,0,"DEN","IND"
"38",2016,"10/9/2016",5,"DEN",5195,0,0,"DEN","ATL"
"39",2016,"10/24/2016",7,"DEN",5195,1,1,"DEN","HOU"
"40",2016,"10/30/2016",8,"DEN",5195,0,0,"DEN","SD"
"41",2016,"11/27/2016",12,"DEN",5195,0,0,"DEN","KC"
"42",2016,"12/18/2016",15,"DEN",5195,3,1,"DEN","NE"
"43",2016,"1/1/2017",17,"DEN",5195,0,0,"DEN","OAK"
"44",2017,"9/11/2017",1,"DEN",5195,2,1,"DEN","LAC"
"45",2017,"9/17/2017",2,"DEN",5195,2,1,"DEN","DAL"
"46",2017,"10/1/2017",4,"DEN",5195,1,1,"DEN","OAK"
"47",2017,"10/15/2017",6,"DEN",5195,0,0,"DEN","NYG"
"48",2017,"11/12/2017",10,"DEN",5195,0,0,"DEN","NE"
"49",2017,"11/19/2017",11,"DEN",5195,1,1,"DEN","CIN"
"50",2017,"12/10/2017",14,"DEN",5195,1,1,"DEN","NYJ"
"51",2017,"12/31/2017",17,"DEN",5195,0,0,"DEN","KC"
"52",2018,"9/9/2018",1,"DEN",5195,0,0,"DEN","SEA"
"53",2018,"9/16/2018",2,"DEN",5195,1,1,"DEN","OAK"
"54",2018,"10/1/2018",4,"DEN",5195,0,0,"DEN","KC"
"55",2018,"10/14/2018",6,"DEN",5195,0,0,"DEN","LAR"
"56",2018,"11/4/2018",9,"DEN",5195,0,0,"DEN","HOU"
"57",2018,"11/25/2018",12,"DEN",5195,1,1,"DEN","PIT"
"58",2018,"12/15/2018",15,"DEN",5195,1,1,"DEN","CLE"
"59",2018,"12/30/2018",17,"DEN",5195,0,0,"DEN","LAC"
"60",2019,"9/15/2019",2,"DEN",5195,0,0,"DEN","CHI"
"61",2019,"9/29/2019",4,"DEN",5195,0,0,"DEN","JAX"
"62",2019,"10/13/2019",6,"DEN",5195,0,0,"DEN","TEN"
"63",2019,"10/17/2019",7,"DEN",5195,0,0,"DEN","KC"
"64",2019,"11/3/2019",9,"DEN",5195,0,0,"DEN","CLE"
"65",2019,"12/1/2019",13,"DEN",5195,2,1,"DEN","LAC"
"66",2019,"12/22/2019",16,"DEN",5195,0,0,"DEN","DET"
"67",2019,"12/29/2019",17,"DEN",5195,0,0,"DEN","OAK"
"68",2012,"9/9/2012",1,"ARI",1068,0,0,"ARI","SEA"
"69",2012,"9/23/2012",3,"ARI",1068,0,0,"ARI","PHI"
"70",2012,"9/30/2012",4,"ARI",1068,0,0,"ARI","MIA"
"71",2012,"10/14/2012",6,"ARI",1068,0,0,"ARI","BUF"
"72",2012,"10/29/2012",8,"ARI",1068,1,1,"ARI","SF"
"73",2012,"11/25/2012",12,"ARI",1068,2,1,"ARI","STL"
"74",2012,"12/16/2012",15,"ARI",1068,0,0,"ARI","DET"
"75",2012,"12/23/2012",16,"ARI",1068,0,0,"ARI","CHI"
"76",2013,"9/15/2013",2,"ARI",1068,0,0,"ARI","DET"
"77",2013,"10/6/2013",5,"ARI",1068,0,0,"ARI","CAR"
"78",2013,"10/17/2013",7,"ARI",1068,0,0,"ARI","SEA"
"79",2013,"10/27/2013",8,"ARI",1068,0,0,"ARI","ATL"
"80",2013,"11/10/2013",10,"ARI",1068,1,1,"ARI","HOU"
"81",2013,"11/24/2013",12,"ARI",1068,0,0,"ARI","IND"
"82",2013,"12/8/2013",14,"ARI",1068,0,0,"ARI","STL"
"83",2013,"12/29/2013",17,"ARI",1068,0,0,"ARI","SF"
"84",2014,"9/8/2014",1,"ARI",1068,1,1,"ARI","SD"
"85",2014,"9/21/2014",3,"ARI",1068,0,0,"ARI","SF"
"86",2014,"10/12/2014",6,"ARI",1068,1,1,"ARI","WAS"
"87",2014,"10/26/2014",8,"ARI",1068,2,1,"ARI","PHI"
"88",2014,"11/9/2014",10,"ARI",1068,0,0,"ARI","STL"
"89",2014,"11/16/2014",11,"ARI",1068,0,0,"ARI","DET"
"90",2014,"12/7/2014",14,"ARI",1068,1,1,"ARI","KC"
"91",2014,"12/21/2014",16,"ARI",1068,0,0,"ARI","SEA"
"92",2015,"9/13/2015",1,"ARI",1068,0,0,"ARI","NO"
"93",2015,"9/27/2015",3,"ARI",1068,0,0,"ARI","SF"
"94",2015,"10/4/2015",4,"ARI",1068,0,0,"ARI","STL"
"95",2015,"10/26/2015",7,"ARI",1068,1,1,"ARI","BAL"
"96",2015,"11/22/2015",11,"ARI",1068,1,1,"ARI","CIN"
"97",2015,"12/10/2015",14,"ARI",1068,2,1,"ARI","MIN"
"98",2015,"12/27/2015",16,"ARI",1068,1,1,"ARI","GB"
"99",2015,"1/3/2016",17,"ARI",1068,0,0,"ARI","SEA"
"100",2016,"9/11/2016",1,"ARI",1068,0,0,"ARI","NE"
"101",2016,"9/18/2016",2,"ARI",1068,0,0,"ARI","TB"
"102",2016,"10/2/2016",4,"ARI",1068,1,1,"ARI","LAR"
"103",2016,"10/17/2016",6,"ARI",1068,0,0,"ARI","NYJ"
"104",2016,"10/23/2016",7,"ARI",1068,0,0,"ARI","SEA"
"105",2016,"11/13/2016",10,"ARI",1068,0,0,"ARI","SF"
"106",2016,"12/4/2016",13,"ARI",1068,2,1,"ARI","WAS"
"107",2016,"12/18/2016",15,"ARI",1068,0,0,"ARI","NO"
"108",2017,"9/25/2017",3,"ARI",1068,0,0,"ARI","DAL"
"109",2017,"10/1/2017",4,"ARI",1068,1,1,"ARI","SF"
"110",2017,"10/15/2017",6,"ARI",1068,0,0,"ARI","TB"
"111",2017,"11/9/2017",10,"ARI",1068,0,0,"ARI","SEA"
"112",2017,"11/26/2017",12,"ARI",1068,2,1,"ARI","JAX"
"113",2017,"12/3/2017",13,"ARI",1068,0,0,"ARI","LAR"
"114",2017,"12/10/2017",14,"ARI",1068,0,0,"ARI","TEN"
"115",2017,"12/24/2017",16,"ARI",1068,0,0,"ARI","NYG"
"116",2018,"9/9/2018",1,"ARI",1068,0,0,"ARI","WAS"
"117",2018,"9/23/2018",3,"ARI",1068,0,0,"ARI","CHI"
"118",2018,"9/30/2018",4,"ARI",1068,0,0,"ARI","SEA"
"119",2018,"10/18/2018",7,"ARI",1068,1,1,"ARI","DEN"
"120",2018,"10/28/2018",8,"ARI",1068,1,1,"ARI","SF"
"121",2018,"11/18/2018",11,"ARI",1068,0,0,"ARI","OAK"
"122",2018,"12/9/2018",14,"ARI",1068,1,1,"ARI","DET"
"123",2018,"12/23/2018",16,"ARI",1068,0,0,"ARI","LAR"
"124",2019,"9/8/2019",1,"ARI",1068,0,0,"ARI","DET"
"125",2019,"9/22/2019",3,"ARI",1068,0,0,"ARI","CAR"
"126",2019,"9/29/2019",4,"ARI",1068,0,0,"ARI","SEA"
"127",2019,"10/13/2019",6,"ARI",1068,0,0,"ARI","ATL"
"128",2019,"10/31/2019",9,"ARI",1068,0,0,"ARI","SF"
"129",2019,"12/1/2019",13,"ARI",1068,1,1,"ARI","LAR"
"130",2019,"12/8/2019",14,"ARI",1068,1,1,"ARI","PIT"
"131",2019,"12/15/2019",15,"ARI",1068,0,0,"ARI","CLE"
"132",2017,"9/17/2017",2,"ATL",1009,1,1,"ATL","GB"
"133",2017,"10/1/2017",4,"ATL",1009,0,0,"ATL","BUF"
"134",2017,"10/15/2017",6,"ATL",1009,2,1,"ATL","MIA"
"135",2017,"11/12/2017",10,"ATL",1009,2,1,"ATL","DAL"
"136",2017,"11/26/2017",12,"ATL",1009,3,1,"ATL","TB"
"137",2017,"12/3/2017",13,"ATL",1009,1,1,"ATL","MIN"
"138",2017,"12/7/2017",14,"ATL",1009,3,1,"ATL","NO"
"139",2017,"12/31/2017",17,"ATL",1009,0,0,"ATL","CAR"
"140",2018,"9/16/2018",2,"ATL",1009,1,1,"ATL","CAR"
"141",2018,"9/23/2018",3,"ATL",1009,0,0,"ATL","NO"
"142",2018,"9/30/2018",4,"ATL",1009,0,0,"ATL","CIN"
"143",2018,"10/14/2018",6,"ATL",1009,0,0,"ATL","TB"
"144",2018,"10/22/2018",7,"ATL",1009,0,0,"ATL","NYG"
"145",2018,"11/18/2018",11,"ATL",1009,1,1,"ATL","DAL"
"146",2018,"12/2/2018",13,"ATL",1009,0,0,"ATL","BAL"
"147",2018,"12/16/2018",15,"ATL",1009,1,1,"ATL","ARI"
"148",2019,"9/15/2019",2,"ATL",1009,0,0,"ATL","PHI"
"149",2019,"9/29/2019",4,"ATL",1009,1,1,"ATL","TEN"
"150",2019,"10/20/2019",7,"ATL",1009,1,1,"ATL","LAR"
"151",2019,"10/27/2019",8,"ATL",1009,1,1,"ATL","SEA"
"152",2019,"11/24/2019",12,"ATL",1009,0,0,"ATL","TB"
"153",2019,"11/28/2019",13,"ATL",1009,2,1,"ATL","NO"
"154",2019,"12/8/2019",14,"ATL",1009,0,0,"ATL","CAR"
"155",2019,"12/22/2019",16,"ATL",1009,0,0,"ATL","JAX"
"156",2012,"9/17/2012",2,"ATL",989,1,1,"ATL","DEN"
"157",2012,"9/30/2012",4,"ATL",989,0,0,"ATL","CAR"
"158",2012,"10/14/2012",6,"ATL",989,1,1,"ATL","OAK"
"159",2012,"11/4/2012",9,"ATL",989,0,0,"ATL","DAL"
"160",2012,"11/18/2012",11,"ATL",989,0,0,"ATL","ARI"
"161",2012,"11/29/2012",13,"ATL",989,0,0,"ATL","NO"
"162",2012,"12/16/2012",15,"ATL",989,0,0,"ATL","NYG"
"163",2012,"12/30/2012",17,"ATL",989,0,0,"ATL","TB"
"164",2013,"9/15/2013",2,"ATL",989,0,0,"ATL","STL"
"165",2013,"9/29/2013",4,"ATL",989,0,0,"ATL","NE"
"166",2013,"10/7/2013",5,"ATL",989,1,1,"ATL","NYJ"
"167",2013,"10/20/2013",7,"ATL",989,1,1,"ATL","TB"
"168",2013,"11/10/2013",10,"ATL",989,0,0,"ATL","SEA"
"169",2013,"11/21/2013",12,"ATL",989,0,0,"ATL","NO"
"170",2013,"12/15/2013",15,"ATL",989,0,0,"ATL","WAS"
"171",2013,"12/29/2013",17,"ATL",989,0,0,"ATL","CAR"
